,Img,Pred,Act,fileName,loss
0,1034120603___2020-10-01T10-48-47.495988Z___camera-00.png,1,1,1034120603___2020-10-01T10-48-47.495988Z___camera-00.png,0.22584202333462589
1,1034120603___2020-10-01T10-48-47.495988Z___camera-01.png,1,1,1034120603___2020-10-01T10-48-47.495988Z___camera-01.png,0.24115494305915575
2,1034120603___2020-10-01T10-48-47.495988Z___camera-03.png,1,1,1034120603___2020-10-01T10-48-47.495988Z___camera-03.png,0.20072308720483123
3,1034120603___2020-10-01T10-48-47.495988Z___camera-04.png,1,1,1034120603___2020-10-01T10-48-47.495988Z___camera-04.png,0.23533061146762885
4,1034120603___2020-10-01T10-48-47.495988Z___camera-06.png,1,1,1034120603___2020-10-01T10-48-47.495988Z___camera-06.png,0.22692844729135633
5,1034120603___2020-10-01T10-48-47.495988Z___camera-09.png,1,1,1034120603___2020-10-01T10-48-47.495988Z___camera-09.png,0.21659639052523266
6,1034120603___2020-10-01T10-48-47.495988Z___camera-11.png,1,1,1034120603___2020-10-01T10-48-47.495988Z___camera-11.png,0.2524402296052811
7,1034120603___2020-10-01T10-48-47.495988Z___camera-14.png,1,1,1034120603___2020-10-01T10-48-47.495988Z___camera-14.png,0.22422806802216214
8,1064260681___2020-10-01T09-44-08.415271Z___camera-00.png,1,1,1064260681___2020-10-01T09-44-08.415271Z___camera-00.png,0.25838955424687526
9,1064260681___2020-10-01T09-44-08.415271Z___camera-01.png,1,1,1064260681___2020-10-01T09-44-08.415271Z___camera-01.png,0.2653743371965047
10,1064260681___2020-10-01T09-44-08.415271Z___camera-02.png,1,1,1064260681___2020-10-01T09-44-08.415271Z___camera-02.png,0.27251262715366126
11,1064260681___2020-10-01T09-44-08.415271Z___camera-03.png,1,1,1064260681___2020-10-01T09-44-08.415271Z___camera-03.png,0.2518601538700167
12,1064260681___2020-10-01T09-44-08.415271Z___camera-04.png,1,1,1064260681___2020-10-01T09-44-08.415271Z___camera-04.png,0.2667999418869027
13,1064260681___2020-10-01T09-44-08.415271Z___camera-07.png,1,1,1064260681___2020-10-01T09-44-08.415271Z___camera-07.png,0.21124688573343875
14,1064260681___2020-10-01T09-44-08.415271Z___camera-12.png,1,1,1064260681___2020-10-01T09-44-08.415271Z___camera-12.png,0.27583448193028315
15,1064260681___2020-10-01T09-44-08.415271Z___camera-13.png,1,1,1064260681___2020-10-01T09-44-08.415271Z___camera-13.png,0.22673807810658916
16,1064260681___2020-10-01T09-44-08.415271Z___camera-14.png,1,1,1064260681___2020-10-01T09-44-08.415271Z___camera-14.png,0.22142532029014161
17,1064260681___2020-10-01T09-44-08.415271Z___camera-15.png,1,1,1064260681___2020-10-01T09-44-08.415271Z___camera-15.png,0.2249205010115174
18,1091366601___2020-10-01T08-52-51.909017Z___camera-00.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-00.png,0.16571303305846047
19,1091366601___2020-10-01T08-52-51.909017Z___camera-01.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-01.png,0.14981669564815608
20,1091366601___2020-10-01T08-52-51.909017Z___camera-02.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-02.png,0.14658747249154028
21,1091366601___2020-10-01T08-52-51.909017Z___camera-03.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-03.png,0.18207552094851565
22,1091366601___2020-10-01T08-52-51.909017Z___camera-04.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-04.png,0.12409085361488884
23,1091366601___2020-10-01T08-52-51.909017Z___camera-05.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-05.png,0.12800106678278922
24,1091366601___2020-10-01T08-52-51.909017Z___camera-07.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-07.png,0.14547024471548067
25,1091366601___2020-10-01T08-52-51.909017Z___camera-08.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-08.png,0.14379734130415028
26,1091366601___2020-10-01T08-52-51.909017Z___camera-11.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-11.png,0.15814457401611498
27,1091366601___2020-10-01T08-52-51.909017Z___camera-12.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-12.png,0.163676559503829
28,1091366601___2020-10-01T08-52-51.909017Z___camera-13.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-13.png,0.12144417483404388
29,1091366601___2020-10-01T08-52-51.909017Z___camera-14.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-14.png,0.12634780591095796
30,1091366601___2020-10-01T08-52-51.909017Z___camera-15.png,0,1,1091366601___2020-10-01T08-52-51.909017Z___camera-15.png,0.10950901064299433
31,1132257915___2020-10-01T09-10-51.523070Z___camera-00.png,1,1,1132257915___2020-10-01T09-10-51.523070Z___camera-00.png,0.24067126376938558
32,1132257915___2020-10-01T09-10-51.523070Z___camera-01.png,1,1,1132257915___2020-10-01T09-10-51.523070Z___camera-01.png,0.26612973376972804
33,1132257915___2020-10-01T09-10-51.523070Z___camera-04.png,1,1,1132257915___2020-10-01T09-10-51.523070Z___camera-04.png,0.255938127700034
34,1132257915___2020-10-01T09-10-51.523070Z___camera-05.png,0,1,1132257915___2020-10-01T09-10-51.523070Z___camera-05.png,0.1812951465477019
35,1132257915___2020-10-01T09-10-51.523070Z___camera-06.png,1,1,1132257915___2020-10-01T09-10-51.523070Z___camera-06.png,0.2324916077824518
36,1132257915___2020-10-01T09-10-51.523070Z___camera-09.png,1,1,1132257915___2020-10-01T09-10-51.523070Z___camera-09.png,0.24402695141546898
37,1132257915___2020-10-01T09-10-51.523070Z___camera-10.png,1,1,1132257915___2020-10-01T09-10-51.523070Z___camera-10.png,0.2386459789837096
38,1132257915___2020-10-01T09-10-51.523070Z___camera-14.png,1,1,1132257915___2020-10-01T09-10-51.523070Z___camera-14.png,0.23054106749145242
39,1143719598___2020-10-01T15-20-07.222949Z___camera-00.png,0,1,1143719598___2020-10-01T15-20-07.222949Z___camera-00.png,0.18910164650200467
40,1143719598___2020-10-01T15-20-07.222949Z___camera-01.png,1,1,1143719598___2020-10-01T15-20-07.222949Z___camera-01.png,0.19465064361373058
41,1143719598___2020-10-01T15-20-07.222949Z___camera-02.png,1,1,1143719598___2020-10-01T15-20-07.222949Z___camera-02.png,0.20202229783981873
42,1143719598___2020-10-01T15-20-07.222949Z___camera-03.png,1,1,1143719598___2020-10-01T15-20-07.222949Z___camera-03.png,0.2079581674949803
43,1143719598___2020-10-01T15-20-07.222949Z___camera-08.png,0,1,1143719598___2020-10-01T15-20-07.222949Z___camera-08.png,0.17310818850613152
44,1143719598___2020-10-01T15-20-07.222949Z___camera-12.png,0,1,1143719598___2020-10-01T15-20-07.222949Z___camera-12.png,0.17743278451076394
45,1143719598___2020-10-01T15-20-07.222949Z___camera-13.png,0,1,1143719598___2020-10-01T15-20-07.222949Z___camera-13.png,0.1598457395478185
46,1143719598___2020-10-01T15-20-07.222949Z___camera-14.png,0,1,1143719598___2020-10-01T15-20-07.222949Z___camera-14.png,0.17493490129325184
47,1143719598___2020-10-01T15-20-07.222949Z___camera-15.png,0,1,1143719598___2020-10-01T15-20-07.222949Z___camera-15.png,0.14730418783578877
48,1155474384___2020-10-01T09-48-34.273471Z___camera-00.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-00.png,0.23012937012632048
49,1155474384___2020-10-01T09-48-34.273471Z___camera-01.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-01.png,0.24154675070045672
50,1155474384___2020-10-01T09-48-34.273471Z___camera-02.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-02.png,0.25956949445361277
51,1155474384___2020-10-01T09-48-34.273471Z___camera-03.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-03.png,0.24102976593158562
52,1155474384___2020-10-01T09-48-34.273471Z___camera-04.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-04.png,0.21831408424811433
53,1155474384___2020-10-01T09-48-34.273471Z___camera-05.png,0,1,1155474384___2020-10-01T09-48-34.273471Z___camera-05.png,0.16266096892971657
54,1155474384___2020-10-01T09-48-34.273471Z___camera-06.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-06.png,0.22797230902177246
